symbol,quantity,trigger_price,ref_buy_price,trade_history_complete
IDEA,16065,14.24,13.04,True
AVANTEL,1049,179.23,168.34,True
SUZLON,908,59.93,54.27,True
YESBANK,600,24.26,22.3,True
GMRP&UI,261,118.32,110.69,True
TARIL,210,313.24,290.38,True
MCLEODRUSS,200,75.0,67.1,True
TMCV,200,459.82,424.52,True
ZEEL,169,109.82,103.1,True
TMPV,119,393.33,357.25,True
OSWALPUMPS,115,364.3,342.2,True
OMPOWER,115,192.0,181.53,True
GROWW,100,208.23,195.6,True
DHANBANK,100,35.0,33.36,True
SBIN,92,1144.98,1032.23,True
TRANSRAILL,80,528.66,496.55,True
CDSL,72,1533.39,1449.03,True
WEBELSOLAR,45,121.67,118.07,True
ATLANTAELE,44,1488.92,1387.17,True
MAZDOCK,35,2738.21,2547.98,True
HAL,34,4602.92,4343.2,True
KIRLOSENG,32,1422.46,1323.68,True
PREMIERENE,30,1137.65,1063.96,True
VMM,30,127.0,118.2,True
APOLLO,28,431.54,401.74,True
GMRAIRPORT,25,116.21,100.77,True
BEL,23,475.69,441.69,True
BSE,20,3765.09,3479.14,True
BGRENERGY,20,389.1,329.5,True
LGEINDIA,20,581.18,546.44,False
SHAILY,15,2434.69,2188.71,True
SOLARINDS,12,17587.33,16486.38,True
GVT&D,11,5702.86,4958.44,True
M&MFIN,10,338.0,320.25,True
VSTTILLERS,10,5970.86,5630.11,True
RUBICON,8,937.75,828.75,True
POLYCAB,6,5344.37,4740.82,False
TDPOWERSYS,4,1264.4,1178.6,True
VOLTAMP,4,9348.26,8684.02,True
CUMMINSIND,3,5340.33,4988.13,True
ZENTEC,3,3827.76,3575.93,False
WHIRLPOOL,3,1056.0,1022.45,True
ABBOTINDIA,1,32062.0,27820.0,True
INTERARCH,1,1939.0,1831.0,True
