Symbol,Qty_Held,GTT_Qty_Placed,Uncovered_Qty,n_lots,Blended_Avg_Buy_Price,Suggested_Blended_Target,Implied_Gain_Pct,Trade_History_Complete
IDEA,17399,1334,16065,36,13.04,14.24,9.2,TRUE
AVANTEL,1103,54,1049,45,168.34,179.23,6.5,TRUE
SUZLON,908,0,908,10,54.27,59.93,10.4,TRUE
YESBANK,600,0,600,4,22.3,24.26,8.8,TRUE
GMRP&UI,261,0,261,23,110.69,118.32,6.9,TRUE
TARIL,223,13,210,16,290.38,313.24,7.9,TRUE
MCLEODRUSS,200,0,200,2,67.1,75,11.8,TRUE
TMCV,200,0,200,28,424.52,459.82,8.3,TRUE
ZEEL,263,94,169,7,103.1,109.82,6.5,TRUE
TMPV,119,0,119,11,357.25,393.33,10.1,TRUE
OSWALPUMPS,115,0,115,14,342.2,364.3,6.5,TRUE
OMPOWER,115,0,115,4,181.53,192,5.8,TRUE
GROWW,100,0,100,4,195.6,208.23,6.5,TRUE
DHANBANK,100,0,100,1,33.36,35,4.9,TRUE
SBIN,92,0,92,16,1032.23,1144.98,10.9,TRUE
TRANSRAILL,90,10,80,6,496.55,528.66,6.5,TRUE
CDSL,72,0,72,13,1449.03,1533.39,5.8,TRUE
WEBELSOLAR,45,0,45,3,118.07,121.67,3,TRUE
ATLANTAELE,54,10,44,16,1387.17,1488.92,7.3,TRUE
MAZDOCK,35,0,35,11,2547.98,2738.21,7.5,TRUE
HAL,34,0,34,23,4343.2,4602.92,6,TRUE
KIRLOSENG,32,0,32,10,1323.68,1422.46,7.5,TRUE
PREMIERENE,30,0,30,6,1063.96,1137.65,6.9,TRUE
VMM,30,0,30,1,118.2,127,7.4,TRUE
APOLLO,69,41,28,2,401.74,431.54,7.4,TRUE
GMRAIRPORT,25,0,25,2,100.77,116.21,15.3,TRUE
BEL,23,0,23,5,441.69,475.69,7.7,TRUE
BSE,22,2,20,14,3479.14,3765.09,8.2,TRUE
BGRENERGY,20,0,20,1,329.5,389.1,18.1,TRUE
LGEINDIA,20,0,20,3,546.44,581.18,6.4,FALSE
SHAILY,15,0,15,8,2188.71,2434.69,11.2,TRUE
SOLARINDS,14,2,12,12,16486.38,17587.33,6.7,TRUE
GVT&D,12,1,11,3,4958.44,5702.86,15,TRUE
M&MFIN,10,0,10,1,320.25,338,5.5,TRUE
VSTTILLERS,10,0,10,9,5630.11,5970.86,6.1,TRUE
RUBICON,8,0,8,2,828.75,937.75,13.2,TRUE
POLYCAB,6,0,6,3,4740.82,5344.37,12.7,FALSE
TDPOWERSYS,4,0,4,1,1178.6,1264.4,7.3,TRUE
VOLTAMP,4,0,4,3,8684.02,9348.26,7.6,TRUE
CUMMINSIND,3,0,3,3,4988.13,5340.33,7.1,TRUE
ZENTEC,7,4,3,3,3575.93,3827.76,7,FALSE
WHIRLPOOL,3,0,3,1,1022.45,1056,3.3,TRUE
ABBOTINDIA,1,0,1,1,27820,32062,15.2,TRUE
INTERARCH,1,0,1,1,1831,1939,5.9,TRUE
